trip_id,line,start_cp,start_cp_id,dest_cp,dest_cp_id,departure_time,departure_time_str,datetime_obj,datetime_float,pdf,speed,departure_interval,planned_travel_time,hour
l4_cp1_1,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 05:49:00,05:49,2025-09-06 05:49:00,5.833333333333333,0.05925219995610811,17.361773581571676,0.0,83.0,5
l4_cp1_3,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 05:55:00,05:55,2025-09-06 05:55:00,5.921096639096862,0.06077248516220737,17.07592973839457,6.0,84.0,5
l4_cp1_5,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 05:59:00,05:59,2025-09-06 05:59:00,5.992788561811099,0.06195835191023316,16.852963213829508,4.0,85.0,5
l4_cp1_7,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:07:00,06:07,2025-09-06 06:07:00,6.13119544617303,0.0640911940874005,16.45194648199141,8.0,88.0,6
l4_cp1_9,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:12:00,06:12,2025-09-06 06:12:00,6.202305438137687,0.06510043084232203,16.262189907669043,5.0,89.0,6
l4_cp1_11,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:18:00,06:18,2025-09-06 06:18:00,6.3000944288144325,0.06638531693128728,16.020605778427278,6.0,90.0,6
l4_cp1_13,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:24:00,06:24,2025-09-06 06:24:00,6.402572840611189,0.06759700498309193,15.792784335404559,6.0,91.0,6
l4_cp1_15,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:30:00,06:30,2025-09-06 06:30:00,6.515884162141436,0.0687680266952435,15.572608972714498,6.0,92.0,6
l4_cp1_17,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:39:00,06:39,2025-09-06 06:39:00,6.661657925104958,0.0700023511261284,15.340531440396198,9.0,94.0,6
l4_cp1_19,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:43:00,06:43,2025-09-06 06:43:00,6.719247302063643,0.07040323727396824,15.265156874679661,4.0,94.0,6
l4_cp1_21,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:50:00,06:50,2025-09-06 06:50:00,6.844576578082641,0.07110288163545359,15.13360982525642,7.0,95.0,6
l4_cp1_23,4,cp1,cp1_l4,cp2,cp2_l4,2025-09-06 06:58:00,06:58,2025-09-06 06:58:00,6.97536322017909,0.07157904734132482,15.044081206014901,8.0,96.0,6
